file_name,rwcount,spatial_count,br_count,br_rect_ratio,requiredFromBRDD,duplicates,duplicate_ratio,avgMBRArea,avgLenX,avgLenY,E_0,E_2,TT_area,TT_margin,TT_overlap,num_partition,load_balanceO,load_balance_new,load_balance_brdd,file_name2,rwcount2,spartial_count2,br_count2,br_rect_ratio2,requiredFromBRDD2,duplicates2,duplicate_ratio2,avgMBRArea2,avgLenX2,avgLenY2,E_02,E_22,TT_area2,TT_margin2,TT_overlap2,num_partition2,load_balanceO2,load_balance_new2,load_balance_brdd2,overlapMBRFirstDS,overlapMBRSecondDS,jaccardSimilarity,elaspsedTimeOld, elaspsedTimeNew, joinCard,UseNewM
spodata: uniform_100000_001_PL1.wkt,100000,100625,624,0.00624,0,625,0.00625,1.00E-06,0.001001301,0.001000394,-1.958294618,-5.119006264,12.80985604,20.16606326,103.290036,16,12.94812929,12.9476438,2.517884745,uniform_50000_02_PL2.wkt,50000,56135,5785,0.1157,0,6135,0.1227,3.98E-04,0.019945996,0.019978094,-1.958294618,-4.693151531,7.145624385,10.6540963,59.92160501,16,9.313447515,9.763245362,8.095230517,0.931161174,1,0.931161174,0.028100876,0.071845246,2,0
spodata: uniform_100000_001_PL1.wkt,100000,100632,630,0.0063,0,632,0.00632,1.00E-06,0.001001301,0.001000394,-1.958294618,-5.119006264,12.83986484,20.29382083,105.3021282,16,9.448512363,9.519955882,2.831231714,uniform_50000_003_PL3.wkt,50000,50905,903,0.01806,0,905,0.0181,8.96E-06,0.002998029,0.002994888,-1.958294618,-4.692813762,6.487858333,10.20017973,53.39965832,16,7.357425905,7.486417034,3.228986929,0.992915803,1,0.992915803,0.02000915,0.020890828,69,0
spodata: uniform_100000_03_PL3.wkt,100000,118337,16913,0.16913,0,18337,0.18337,8.99E-04,0.030076468,0.029914251,-1.958294618,-5.118509139,13.90044328,20.44023515,108.9603314,15,8.9744269,8.04199229,13.88663548,uniform_50000_002_PL2.wkt,50000,50558,555,0.0111,0,558,0.01116,4.00E-06,0.001995164,0.002007688,-1.958294618,-4.692759048,5.870342112,9.396767827,43.3211563,15,5.529007117,5.415531368,2.534802798,1,1,1,0.037078375,0.117039939,3851162,0
spodata: uniform_100000_03_PL3.wkt,100000,118720,17109,0.17109,0,18720,0.1872,8.99E-04,0.030076468,0.029914251,-1.958294618,-5.118509139,14.66817914,21.48669249,120.9370419,16,12.92553314,11.93572118,13.10277381,uniform_50000_01_PL1.wkt,50000,53100,3021,0.06042,0,3100,0.062,1.01E-04,0.010008984,0.009995027,-1.958294618,-4.693072771,6.514723055,10.10943396,51.46207956,16,8.812525327,8.414965241,5.412571339,1,1,1,0.026474441,0.098002105,2190953,0
spodata: uniform_100000_03_PL3.wkt,100000,118065,16498,0.16498,0,18065,0.18065,8.99E-04,0.030076468,0.029914251,-1.958294618,-5.118509139,13.69041739,20.14109127,108.3528476,15,19.5477734,19.43699874,13.12982675,uniform_50000_03_PL3.wkt,50000,58948,8209,0.16418,0,8948,0.17896,9.02E-04,0.030110097,0.029915506,-1.958294618,-4.692977033,6.807314588,10.04471541,53.82212911,15,14.09117778,13.81028385,9.627639183,0.999569725,1,0.999569725,0.055780052,0.190232838,493108,0
spodata: uniform_100000_03_PL3.wkt,100000,118624,17045,0.17045,0,18624,0.18624,8.99E-04,0.030076468,0.029914251,-1.958294618,-5.118509139,13.87997164,21.09407206,111.6855163,16,15.24202286,13.08785697,12.56829043,uniform_50000_001_PL1.wkt,50000,50318,316,0.00632,0,318,0.00636,1.01E-06,0.001002765,0.001001463,-1.958294618,-4.693153701,5.795258586,9.642092645,43.43349716,16,11.1357875,11.078879,2.128766208,1,1,1,0.033739275,0.103857349,4121478,0
spodata: uniform_100000_03_PL3.wkt,100000,118694,17182,0.17182,0,18694,0.18694,8.99E-04,0.030076468,0.029914251,-1.958294618,-5.118509139,15.36809581,22.10897927,129.9842246,16,17.32127125,16.52793756,14.91297067,uniform_50000_02_PL2.wkt,50000,56115,5758,0.11516,0,6115,0.1223,3.98E-04,0.019945996,0.019978094,-1.958294618,-4.693151531,7.228290178,10.72056603,59.86448361,16,11.4669677,10.9011926,8.612131479,1,1,1,0.035835983,0.121005991,1030861,0
spodata: uniform_100000_03_PL3.wkt,100000,118054,16646,0.16646,0,18054,0.18054,8.99E-04,0.030076468,0.029914251,-1.958294618,-5.118509139,13.3303211,20.1468964,102.0092468,15,19.2217903,17.60132325,13.33266674,uniform_50000_003_PL3.wkt,50000,50870,863,0.01726,0,870,0.0174,8.96E-06,0.002998029,0.002994888,-1.958294618,-4.692813762,5.636486551,9.279464634,40.51710856,15,12.63823583,12.57874636,3.114277665,1,1,1,0.054656486,0.140638328,3602262,0
spodata: uniform_100000_01_PL1.wkt,100000,106107,5934,0.05934,0,6107,0.06107,1.00E-04,0.010006311,0.009999641,-1.958294618,-5.118464243,13.93404418,21.20475805,116.3633752,16,17.62206687,18.23498835,9.478284833,uniform_50000_002_PL2.wkt,50000,50623,619,0.01238,0,623,0.01246,4.00E-06,0.001995164,0.002007688,-1.958294618,-4.692759048,6.640856658,10.35406835,54.54120768,16,12.14376267,12.20291604,3.286777741,1,1,1,0.033154285,0.049119471,328258,0
spodata: uniform_100000_01_PL1.wkt,100000,105911,5746,0.05746,0,5911,0.05911,1.00E-04,0.010006311,0.009999641,-1.958294618,-5.118464243,13.09620424,19.80953872,101.8571747,15,15.92344406,15.93546297,8.28689579,uniform_50000_01_PL1.wkt,50000,52935,2872,0.05744,0,2935,0.0587,1.01E-04,0.010008984,0.009995027,-1.958294618,-4.693072771,6.532988972,9.894078284,50.77598097,15,11.68454742,11.71647985,5.7644393,0.999996708,1,0.999996708,0.05175657,0.112089599,56076,0
